,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Stable ID,Threat (paraphrased),Threat (verbatim),Pro-dem Mitigation (paraphrased),Pro-dem Mitigation (verbatim),Pro-dem Opportunity (paraphrased),Pro-dem Opportunity (verbatim),Source,Note,Democracy Aspect  1,Democracy Aspect  2,Democracy Aspect  3,Democracy Aspect  4,Democracy Aspect  5,Democracy Aspect  6,More than 4 Democracy Codes ,,,,
64,"AI-powered search engines bypassing links to news content reduce traffic and revenue for smaller and mid-sized outlets, concentrating surviving media power in established brands","""This limits monetization opportunities for small- or middle-sized media organizations… likely lead to a strengthening of existing institutions, media brands, and associated power relations""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.1 PRIMARY Independent and Fact-Based Journalistic Media,1.4 SECONDARY Economic and Social Rights,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
65,"As quality journalism retreats behind paywalls and AI-generated content fills the free information environment, socio-economic inequality increasingly determines citizens' access to reliable political information","""allowing those able to pay for news to access high-quality, curated, and quality-checked information, while leaving those not able (or willing) to pay to the noisy, (partially) automated, and contested free digital information environment… socio-economic divides decide (or are seen to decide) over the ability of people to come to informed political decisions""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.1 PRIMARY Independent and Fact-Based Journalistic Media,1.4 SECONDARY Economic and Social Rights,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
66,///,///,///,///,"The proliferation of AI-generated content may increase the premium on trusted, quality-checked news sources, potentially reversing the commercial decline of reputable journalism","""automated misinformation in scale might turn out to strengthen intermediary institutions that provide information in democracies… professional, reliable, and impartial news sources might see a reversal of fortune""","Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.1 PRIMARY Independent and Fact-Based Journalistic Media,,,,,,no,,,,
67,///,///,///,///,"Interdisciplinary collaboration between computer and social scientists is needed to monitor, evaluate, and guide AI implementation across all areas where it touches democracy","""Social scientists need to consider AI in their analysis of features, dangers, and potentials of contemporary democracy… computer scientists and engineers need to consider the consequences for democracy in AI development and deployment… the analysis of AI's impact on democracy an important area of future interdisciplinary work""","Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
68,AI may create online echo chambers that undermine pluralistic and inclusive public debate,"""creating online echo chambers based on a person's previous online behaviour, displaying only content a person would like, instead of creating an environment for pluralistic, equally accessible and inclusive public debate.""",///,///,///,///,European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities,checked,3.2 PRIMARY Opinion Formation and Political Participation, 3.1 SECONDARY Independent and Fact-Based Journalistic Media,,,,,no,,,,
69,AI profiling may restrict freedom of assembly and  prevent people from participation (e.g. in prostest),"""AI could also play a role in harming freedom of assembly and protest as it could track and profile individuals linked to certain beliefs or actions.""",///,///,///,///,European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities,checked,1.3 PRIMARY Civil and Political Rights,2.7 SECONDARY Civilian Control of the Military and Police,,,,,no,,,,
70,"AI enables covert surveillance, facial recognition, and online profiling of individuals, and can merge data in ways that produce unexpected inferences — severely threatening the right to privacy and data protection","""AI could severely affect the right to privacy and data protection. It can be for example used in face recognition equipment or for online tracking and profiling of individuals. In addition, AI enables merging pieces of information a person has given into new data, which can lead to results the person would not expect.""",///,///,///,///,European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities,checked,1.3 PRIMARY Civil and Political Rights,2.7 SECONDARY Civilian Control of the Military and Police,,,,,no,,,,
71,"AI enables covert behavioural targeting by vendors and political campaigns without individuals' knowledge, and blurs the boundary between human and AI interaction, undermining informed political participation","""based on a person's online behaviour or other data and without their knowledge, an online vendor can use AI to predict someone is willing to pay, or a political campaign can adapt their message. Another transparency issue is that sometimes it can be unclear to people whether they are interacting with AI or a person.""","Regulate AI to prevent manipulation of human behaviour, deception, and exploitation of vulnerabilities","""The AI Act tackles these challenges by regulating the use of AI to prevent manipulating human behaviour, deception or exploiting people's vulnerabilities.""",///,///,European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities,checked,3.2  PRIMARY Opinion Formation and Political Participation,1.3 SECONDARY Civil and Political Rights,1.4 SECONDARY Economic and Social Rights ,2.1 SECONDARY Free and Fair Elections,,,no,,,,
73,"AI systems can replicate structural biases in decisions on hiring, loans, and criminal proceedings, undermining equality","""design and data can be intentionally or unintentionally biased…programmed to reflect and replicate structural biases. In addition, the use of numbers to represent complex social reality could make the AI seem factual and precise when it isn't. This is sometimes referred to as mathwashing. If not done properly, AI could lead to decisions influenced by data on ethnicity, sex, age when hiring or firing, offering loans, or even in criminal proceedings.""",Improve datasets and training to avoid bias,"""data sets…as complete and free of errors as possible""",,,European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities,checked,1.1 PRIMARY Nationhood and Citizenship,1.2 SECONDARY Rule of Law and Access to Justice,1.4 SECONDARY Economic and Social Rights ,,,,no,,,,
74,///,///,///,///,AI could support societal diversity and openness,"""AI could also support diversity and openness""",European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities,checked,1.1 PRIMARY Nationhood and Citizenship,3.2 SECONDARY Opinion Formation and Political Participation,,,,,no,,,,
75,///,///,///,///,"AI can strengthen democracy by enabling data-based scrutiny, countering disinformation and cyber attacks, and improving citizens' access to quality information","""Democracy could be made stronger by using data-based scrutiny, preventing disinformation and cyber attacks and ensuring access to quality information."" The opportunity paraphrase could then read: ""AI can strengthen democracy by enabling data-based scrutiny, countering disinformation and cyber attacks, and improving access to quality information.""",European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities,checked,2.3 PRIMARY Effective and Accountable Government,3.1 SECONDARY Independent and Fact-Based Journalistic Media,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
